YBR247C	YER017C
YBL006C	YDR489W
YHL045W	YKR006C
YBR055C	YHR208W
YIL004C	YIL109C
YHL006C	YPL255W
YGR187C	YLR295C
YML064C	YJL008C
YCR034W	YDR456W
YGR094W	YLR175W
YBR196C	YKR017C
YBR196C	YIL113W
YPL043W	YPR072W
YPR096C	YJR091C
YCR079W	YMR277W
YBR127C	YDL043C
YLR233C	YHR082C
YPR178W	YNL147W
YMR049C	YLR449W
YKR048C	YLR457C
YBR054W	YJR091C
YDR137W	YLR039C
YNL210W	YER022W
YNL161W	YFL039C
YPR086W	YMR193W
YOR341W	YOR224C
YPL240C	YGR092W
YHL042W	YJR010C-A
YLR438C-A	YDR378C
YKL095W	YMR125W
YOR151C	YER095W
YJR045C	YBR136W
YBR034C	YIL061C
YER133W	YOL091W
YMR205C	YDL043C
YMR105C	YDR306C
YLR006C	YDL153C
YCR034W	YDL015C
YER148W	YGR104C
YPR110C	YOR224C
YBR072W	YER012W
YLR428C	YPL242C
YGR013W	YDR240C
YBL093C	YKL129C
YIL118W	YLR114C
YJR009C	YJR007W
YIR038C	YDR371W
YER064C	YPR125W
YHR128W	YNR012W
YHR089C	YDL051W
YBL066C	YDR247W
YPL022W	YDR320C
YNL064C	YDR339C
YOR312C	YOR285W
YNL244C	YDR429C
YCR009C	YNL094W
YOL058W	YNL189W
YPR178W	YJR091C
YLR288C	YDR460W
YBR196C	YLR262C
YPR086W	YOR079C
YBR160W	YFR027W
YHR086W	YDR240C
YGR284C	YMR215W
YMR090W	YLR295C
YER133W	YML074C
YDL203C	YOR372C
YBR302C	YLL028W
YDR414C	YDR245W
YFR050C	YER105C
YJL124C	YOR109W
YJL034W	YER133W
YFL009W	YLR079W
YBL030C	YGL137W
YPL249C-A	YPR154W
YKL068W	YDR395W
YPR065W	YLR373C
YLL021W	YOR231W
YIL098C	YPR180W
YGR252W	YOR225W
YBL045C	YMR059W
YKR026C	YKR046C
YNL244C	YPR041W
YNL206C	YDR528W
YIL039W	YLR453C
YOL004W	YIL084C
YDR146C	YPL254W
YOL004W	YAL034C
YDL140C	YDR167W
YGL070C	YDL219W
YHR135C	YPL171C
YER133W	YOR329C
YCR012W	YGL137W
YBR057C	YDR206W
YNL216W	YDR227W
YBR127C	YML115C
YJL166W	YLR295C
YBR301W	YMR047C
YHR123W	YEL017W
YJR045C	YGR155W
YOR361C	YMR049C
YOL139C	YJL138C
YBR072W	YBR114W
YDR148C	YDL059C
YLR335W	YGL016W
YLL048C	YPL147W
YPR182W	YPL151C
YGR258C	YIL143C
YJR090C	YOL133W
YLR035C	YOR261C
YER032W	YJR110W
YNL090W	YML085C
YGL237C	YBR127C
YLR304C	YOR005C
YER171W	YBR274W
YNL005C	YNL284C
YGR254W	YDL192W
YIL063C	YOL061W
YHL003C	YHR142W
YGL254W	YHR215W
YHR098C	YJL199C
YOL145C	YLR418C
YER171W	YLR005W
YBR017C	YKL068W
YIL035C	YGR090W
YOR270C	YEL051W
YGL040C	YNL189W
YLR438W	YHL025W
YHR022C	YIL028W
YLR378C	YDR086C
YFR028C	YMR049C
YIL066C	YFL039C
YCL037C	YPL204W
YJR077C	YDR386W
YFR037C	YDL002C
YKR001C	YDR097C
YGL127C	YLR311C
YKL103C	YGL156W
YKL008C	YKL065C
YLR182W	YDL056W
YGR156W	YDR301W
YNR040W	YMR047C
