YBL035C	YNL290W
YGR140W	YGR179C
YDR127W	YDR398W
YJR045C	YNR017W
YMR116C	YOR056C
YJL061W	YIL115C
YKL108W	YIL070C
YOR254C	YLR292C
YGR090W	YLR186W
YKR024C	YNL175C
YGL234W	YBL026W
YPL209C	YBR010W
YBR264C	YGL198W
YHR046C	YPR015C
YFR052W	YOR117W
YKL104C	YBR238C
YOR196C	YDR344C
YOR098C	YLR359W
YKR081C	YNL002C
YAR007C	YGL048C
YOR259C	YDL147W
YGL256W	YKL108W
YER173W	YDR394W
YBR109C	YDR195W
YKL016C	YDR377W
YJL033W	YLR175W
YDL055C	YJR042W
YCL011C	YDL084W
YJR132W	YDL193W
YLR044C	YPL203W
YJR022W	YLR143W
YJL008C	YDR030C
YMR303C	YLR074C
YPR111W	YIL075C
YKL095W	YLR117C
YNL244C	YOR335C
YPR110C	YDL126C
YIL046W	YEL015W
YMR288W	YMR240C
YBR196C	YBR055C
YJR045C	YDR499W
YJR022W	YGR158C
YIL038C	YNR052C
YMR309C	YPR016C
YGL195W	YJL074C
YGL070C	YKL150W
YER133W	YJR093C
YPR178W	YER172C
YGR218W	YJR134C
YIL021W	YLR384C
YNL287W	YBL026W
YBR091C	YDL217C
YGR218W	YGL170C
YDR224C	YIL066C
YKR068C	YML077W
YBR142W	YHR052W
YER012W	YBL041W
YMR042W	YMR043W
YER012W	YDL055C
YNL044W	YLR347C
YLR310C	YJL005W
YMR211W	YDR510W
YCR042C	YBR198C
YGL116W	YJL111W
YCR057C	YNL075W
YLL008W	YNL175C
YOR341W	YPR010C
YOL139C	YJL005W
YGR074W	YDR088C
YPL043W	YNL002C
YOR341W	YJR063W
YCL024W	YAL027W
YDR023W	YMR059W
YJL099W	YLR424W
YJR076C	YHR082C
YGR006W	YDR088C
YKL129C	YJL020C
YKR024C	YDR215C
YPL043W	YPL012W
YEL043W	YDL074C
YNR008W	YMR059W
YPR165W	YPL161C
YOR254C	YJL034W
YJR045C	YAR019C
YER022W	YLR175W
YML010W	YPR041W
YGR254W	YPL203W
YDR190C	YDR398W
YDL108W	YOR151C
YKR002W	YDR195W
YLR291C	YKL205W
YCR077C	YNL147W
YPR182W	YNL189W
YOR206W	YDR060W
YJL196C	YNL044W
YKL152C	YMR109W
YDR297W	YOL003C
YBR142W	YHR066W
YKL060C	YCR002C
YGR254W	YJR045C
YER022W	YIL022W
YMR294W	YPR083W
YJR017C	YGR186W
YGR095C	YNL265C
YGL137W	YDL145C
YGL099W	YDR101C
YHR148W	YBR247C
YPR086W	YFL013C
YEL037C	YOR117W
YJL054W	YDL217C
YDR194C	YGL035C
YEL017C-A	YJL117W
YDL017W	YLR386W
YAL021C	YER068W
YPR165W	YDL240W
YKR086W	YBR173C
YJL074C	YDL087C
YJR050W	YDR416W
YJL109C	YDR060W
YBL093C	YMR109W
YPL036W	YOL133W
YFR024C-A	YJL045W
YFL045C	YHR107C
YLR268W	YFR051C
YBR135W	YPR120C
YFL017W-A	YDR240C
YLR293C	YLR347C
YHR016C	YNL243W
YMR288W	YML049C
YER012W	YDL097C
YOL133W	YOR261C
YDL126C	YDL190C
YLL024C	YGR119C
YAL041W	YJL157C
YOR117W	YIL007C
YBR055C	YBR121C
YGL249W	YDL132W
YIL038C	YDR381W
YGL120C	YDL153C
YMR061W	YDR228C
YBR119W	YKL012W
YGL011C	YER012W
YHR200W	YDL147W
YKR081C	YOL077C
YHR089C	YNL124W
YGL166W	YML092C
YDR485C	YOL012C
YKL104C	YLR291C
YLR044C	YDR267C
YBR065C	YPL151C
YKL014C	YNL061W
YDL116W	YNL118C
YGR240C	YLR175W
YDL145C	YDR190C
YDR412W	YMR049C
YKR068C	YMR218C
YFL038C	YNL263C
YDL017W	YFR057W
YER172C	YPR082C
YMR314W	YFR010W
YOR116C	YDR045C
YBR109C	YNL202W
YJR045C	YPL140C
YDL126C	YER133W
YPR088C	YDL092W
YER022W	YNL282W
YHR118C	YML065W
YHR052W	YOR005C
YER173W	YBR087W
YGL070C	YGR005C
YJR117W	YNL101W
YBR254C	YDR472W
YFL038C	YLR078C
YJL167W	YDR369C
YGR002C	YOR244W
YBL026W	YGR091W
YMR297W	YLR078C
YHR007C	YJR117W
YNL207W	YDL060W
YPR108W	YDL123W
YMR308C	YGL197W
YLR398C	YBR142W
YGR254W	YGL137W
